URL_ID,URL,POSITIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVG_SENTENCE_LENGTH,PERCENTAGE_COMPLEX_WORDS,FOG_INDEX,AVG_WORDS_PER_SENTENCE,COMPLEX_WORD_COUNT,WORD_COUNT,SYLLABLES_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
blackassign0055,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,26,6,0.62,0.03,25.72,20.04,18.30,25.72,201,1003,1.73,6,5.27
blackassign0056,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,18,9,0.33,0.04,26.64,27.18,21.53,26.64,181,666,1.95,3,5.77
blackassign0057,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20,7,0.48,0.05,18.06,23.01,16.43,18.06,133,578,1.89,2,5.75
blackassign0058,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,12,1,0.85,0.04,25.14,31.53,22.67,25.14,111,352,2.11,4,6.16
blackassign0059,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,24,25,-0.02,0.05,16.92,19.54,14.58,16.92,195,998,1.71,21,5.25
blackassign0060,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,14,3,0.65,0.04,27.07,25.86,21.17,27.07,98,379,1.94,3,5.83
blackassign0061,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,40,8,0.67,0.05,19.84,26.35,18.47,19.84,230,873,1.95,2,5.95
blackassign0062,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,8,7,0.07,0.04,29.00,25.86,21.94,29.00,90,348,1.95,7,5.84
blackassign0063,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,15,22,-0.19,0.06,24.08,22.32,18.56,24.08,129,578,1.80,8,5.38
blackassign0064,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,31,39,-0.11,0.04,24.50,25.64,20.06,24.50,490,1911,1.85,18,5.62
blackassign0065,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,42,24,0.27,0.03,25.88,16.74,17.05,25.88,325,1941,1.63,22,5.00
blackassign0066,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,33,21,0.22,0.03,22.62,18.90,16.61,22.62,312,1651,1.69,20,5.19
blackassign0067,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,26,3,0.79,0.03,14.87,19.03,13.56,14.87,201,1056,1.69,3,5.01
blackassign0068,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,43,6,0.76,0.03,25.90,16.63,17.01,25.90,267,1606,1.60,6,4.92
blackassign0069,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,27,7,0.59,0.05,31.57,23.68,22.10,31.57,157,663,1.77,10,5.34
blackassign0070,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,42,11,0.58,0.03,24.75,22.62,18.95,24.75,403,1782,1.81,10,5.43
blackassign0071,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,23,60,-0.45,0.07,15.95,18.98,13.97,15.95,224,1180,1.69,15,5.21
blackassign0072,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,55,15,0.57,0.05,17.16,16.53,13.48,17.16,227,1373,1.61,7,4.99
blackassign0073,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,29,30,-0.02,0.05,23.80,17.46,16.51,23.80,212,1214,1.67,7,5.20
blackassign0074,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,29,18,0.23,0.04,17.68,24.90,17.03,17.68,317,1273,1.88,11,5.60
blackassign0075,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,21,64,-0.51,0.07,17.21,19.17,14.55,17.21,231,1205,1.70,17,5.22
blackassign0076,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,23,10,0.39,0.04,22.84,22.24,18.03,22.84,193,868,1.77,7,5.33
blackassign0077,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,12,4,0.50,0.03,32.67,24.49,22.86,32.67,120,490,1.88,2,5.67
blackassign0078,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,30,14,0.36,0.05,33.32,23.69,22.80,33.32,221,933,1.87,2,5.65
blackassign0079,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,23,25,-0.04,0.03,22.68,21.27,17.58,22.68,299,1406,1.74,8,5.43
blackassign0080,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,38,11,0.55,0.01,14.45,18.05,13.00,14.45,660,3657,1.65,4,5.10
blackassign0081,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,37,38,-0.01,0.04,21.97,20.59,17.02,21.97,398,1933,1.73,14,5.25
blackassign0082,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,33,48,-0.19,0.05,24.93,26.41,20.53,24.93,441,1670,1.92,2,5.76
blackassign0083,https://insights.blackcoffer.com/human-rights-outlook/,9,2,0.64,0.03,30.73,26.92,23.06,30.73,91,338,1.95,4,5.85
blackassign0084,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,33,5,0.74,0.04,24.62,19.44,17.62,24.62,201,1034,1.71,4,5.42
blackassign0085,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,32,31,0.02,0.03,16.51,20.21,14.69,16.51,407,2014,1.68,8,5.17
blackassign0086,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,49,15,0.53,0.03,20.70,20.45,16.46,20.70,381,1863,1.72,7,5.29
blackassign0087,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,30,30,0.00,0.05,24.57,20.03,17.84,24.57,251,1253,1.75,5,5.36
blackassign0088,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,22,42,-0.31,0.03,24.49,23.82,19.32,24.49,455,1910,1.85,3,5.49
blackassign0089,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,19,37,-0.32,0.05,21.64,21.01,17.06,21.64,241,1147,1.80,7,5.43
blackassign0090,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,38,39,-0.01,0.05,18.50,19.70,15.28,18.50,277,1406,1.70,39,5.17
blackassign0091,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,28,25,0.06,0.04,31.56,21.87,21.37,31.56,283,1294,1.78,14,5.28
blackassign0092,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,26,36,-0.16,0.05,20.83,23.05,17.56,20.83,317,1375,1.86,6,5.59
blackassign0093,https://insights.blackcoffer.com/travel-and-tourism-outlook/,10,3,0.54,0.03,29.31,24.93,21.70,29.31,95,381,1.89,4,5.69
blackassign0094,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,34,42,-0.11,0.06,20.32,19.69,16.00,20.32,264,1341,1.71,15,5.16
blackassign0095,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,14,23,-0.24,0.04,21.71,23.03,17.90,21.71,190,825,1.83,6,5.54
blackassign0096,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,33,51,-0.21,0.06,23.46,24.96,19.37,23.46,328,1314,1.85,6,5.56
blackassign0097,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,28,33,-0.08,0.05,28.91,17.53,18.58,28.91,223,1272,1.65,9,5.10
blackassign0098,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,8,1,0.78,0.03,38.11,28.86,26.79,38.11,99,343,2.05,2,6.17
blackassign0099,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,19,3,0.73,0.03,21.62,19.32,16.37,21.62,142,735,1.75,6,5.36
blackassign0100,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,33,44,-0.14,0.07,30.24,23.32,21.43,30.24,261,1119,1.82,5,5.55
